step,loss,elapsed_s
200,30717.5859375,0.7946829795837402
400,29007.44921875,1.453864574432373
600,28433.0625,2.0925347805023193
800,27610.818359375,2.7627060413360596
1000,28270.375,3.423358678817749
1200,27899.66015625,4.070013999938965
1400,28029.130859375,4.713155269622803
1600,27704.66015625,5.365346908569336
1800,28078.15625,6.01898193359375
2000,27167.248046875,6.675135374069214
2200,34557.2734375,7.317806720733643
2400,26491.41015625,7.970998525619507
2600,37204.5390625,8.59812617301941
2800,45195.40625,9.26580286026001
3000,26159.35546875,9.897439002990723
3200,26720.18359375,10.535571336746216
3400,27297.6484375,11.17921257019043
3600,26480.2265625,11.822356700897217
3800,26953.486328125,12.506525039672852
4000,26531.5859375,13.16270136833191
4200,28248.947265625,13.812363862991333
4400,27060.2578125,14.46603775024414
4600,27195.6953125,15.117674350738525
4800,28679.36328125,15.762338638305664
5000,28663.517578125,16.412476062774658
5200,27394.2421875,17.07118272781372
5400,35958.2421875,17.727330684661865
5600,28169.20703125,18.361488103866577
5800,27072.28125,19.02014398574829
6000,26725.71484375,19.679336309432983
6200,28415.521484375,20.34400463104248
6400,29221.46875,20.99669909477234
6600,27894.794921875,21.644367694854736
6800,26254.001953125,22.28906750679016
7000,26296.0625,22.919198751449585
7200,27343.078125,23.55684995651245
7400,26383.68359375,24.208508253097534
7600,26466.9453125,24.843151330947876
7800,25775.86328125,25.494367361068726
8000,26201.73046875,26.1355082988739
8200,33436.8359375,26.778675317764282
8400,26982.697265625,27.409812927246094
8600,27308.4921875,28.049957036972046
8800,25544.87890625,28.702107191085815
9000,26034.216796875,29.35725688934326
9200,28001.341796875,30.058478832244873
9400,26489.1875,30.721149682998657
9600,25520.89453125,31.369322538375854
9800,37492.2421875,32.04148626327515
10000,25508.50390625,32.68914747238159
