step,loss,elapsed_s
200,1350.52197265625,0.46411585807800293
400,767.89453125,0.7991788387298584
600,1285.3251953125,1.142765998840332
800,630.775634765625,1.4808309078216553
1000,632.931884765625,1.822432041168213
1200,1007.3225708007812,2.1550204753875732
1400,605.0064697265625,2.4900991916656494
1600,761.4854736328125,2.826690435409546
1800,552.0516357421875,3.1572844982147217
2000,723.3345947265625,3.4888553619384766
2200,508.16278076171875,3.8274784088134766
2400,384.3360595703125,4.172574281692505
2600,862.0335693359375,4.5226991176605225
2800,435.85516357421875,4.860767841339111
3000,525.6172485351562,5.199352502822876
3200,610.8966674804688,5.538949251174927
3400,446.6368103027344,5.878525495529175
3600,514.3004760742188,6.211634397506714
3800,1939.9852294921875,6.549705743789673
4000,333.43499755859375,6.88677716255188
4200,495.03485107421875,7.2698655128479
4400,580.8843994140625,7.612462997436523
4600,579.2451171875,7.942031145095825
4800,1822.5709228515625,8.27409052848816
5000,433.17822265625,8.604173421859741
5200,527.3563232421875,8.947271585464478
5400,373.5459289550781,9.282335758209229
5600,411.4170837402344,9.616928577423096
5800,423.1794738769531,9.941983461380005
6000,1873.038818359375,10.275547981262207
6200,1112.0301513671875,10.600125074386597
6400,537.335693359375,10.928200960159302
6600,445.71612548828125,11.266755819320679
6800,459.30694580078125,11.604832649230957
7000,339.14697265625,11.945919036865234
7200,405.300537109375,12.283476114273071
7400,359.10736083984375,12.613560199737549
7600,316.11181640625,12.952152490615845
7800,975.4588012695312,13.328239440917969
8000,568.443603515625,13.653302192687988
8200,299.1737976074219,13.988865613937378
8400,425.3752746582031,14.32295846939087
8600,615.871337890625,14.669033527374268
8800,363.9749755859375,15.001604318618774
9000,442.85308837890625,15.332678318023682
9200,382.40032958984375,15.671241998672485
9400,328.26824951171875,16.009822607040405
9600,331.2243347167969,16.35542130470276
9800,536.82373046875,16.709998846054077
10000,687.235107421875,17.051081895828247
