step,loss,elapsed_s
200,6029.93212890625,0.5381205081939697
400,4711.37158203125,0.8877055644989014
600,4012.052001953125,1.273306131362915
800,3969.1083984375,1.6428861618041992
1000,3752.34375,1.9999611377716064
1200,3429.452392578125,2.3515467643737793
1400,3241.35791015625,2.706624984741211
1600,3102.071044921875,3.044703722000122
1800,3159.251708984375,3.3868014812469482
2000,2874.394287109375,3.7248682975769043
2200,3647.22412109375,4.052445411682129
2400,2633.1796875,4.383025884628296
2600,7153.6494140625,4.72809100151062
2800,2876.73046875,5.0772545337677
3000,2369.0185546875,5.422330617904663
3200,2517.06298828125,5.77693772315979
3400,2287.017578125,6.125508546829224
3600,2261.037841796875,6.4651055335998535
3800,2370.31298828125,6.807174205780029
4000,1985.6956787109375,7.1447601318359375
4200,2312.139404296875,7.47934365272522
4400,2338.1787109375,7.821909189224243
4600,1898.980224609375,8.164034843444824
4800,1824.169677734375,8.508610486984253
5000,2129.305419921875,8.846689701080322
5200,1783.42822265625,9.188300609588623
5400,1988.45556640625,9.528884172439575
5600,2014.3856201171875,9.869994640350342
5800,1814.06201171875,10.215565204620361
6000,1737.07568359375,10.559672355651855
6200,1678.32958984375,10.900245189666748
6400,2168.20703125,11.24432921409607
6600,6724.4228515625,11.582916259765625
6800,1582.0078125,11.928497314453125
7000,1698.8099365234375,12.267570972442627
7200,1682.4443359375,12.621137142181396
7400,1679.634765625,12.964230060577393
7600,1556.411376953125,13.319805383682251
7800,1591.2772216796875,13.66839337348938
8000,1587.80810546875,14.013976335525513
8200,1846.731689453125,14.369073629379272
8400,1686.3406982421875,14.72064208984375
8600,1687.7158203125,15.067237615585327
8800,2068.86669921875,15.408815145492554
9000,1570.404052734375,15.760410070419312
9200,1638.63330078125,16.113475799560547
9400,1477.53857421875,16.449552536010742
9600,1549.326171875,16.78863215446472
9800,2031.8319091796875,17.12019634246826
10000,1388.55126953125,17.46129035949707
