solver,target_nfe,actual_nfe,steps,project_tangent,radial_w1,sliced_w1,angular_sw_mean,ks_stat,sample_time_s,nan_rate,drift_final_mean,drift_final_max,drift_traj_max_mean
euler,1,1,1,True,0.08817906677722931,0.07036472111940384,0.038597472943365574,0.08668158948421478,0.12001824378967285,0.0,0.09056083112955093,3.5911455154418945,0.09056083112955093
euler,1,1,1,False,0.06554020196199417,0.0686907023191452,0.039641665294766426,0.08346715569496155,0.0004985332489013672,0.0,0.12026429176330566,4.038178443908691,0.12026429176330566
euler,2,2,2,True,0.34865179657936096,0.06293963640928268,0.03405309282243252,0.12993481755256653,0.0015001296997070312,0.0,0.351301908493042,3.585479259490967,0.351301908493042
euler,2,2,2,False,0.31056320667266846,0.05208241567015648,0.030005504842847586,0.2250671684741974,0.0009984970092773438,0.0,0.3831608295440674,4.560434341430664,0.38423487544059753
euler,5,5,5,True,0.2705090045928955,0.042876992374658585,0.025876910891383886,0.12736019492149353,0.003000974655151367,0.0,0.27315908670425415,1.6524534225463867,0.27315908670425415
euler,5,5,5,False,0.20458292961120605,0.035422202199697495,0.024538366589695215,0.14356714487075806,0.002000570297241211,0.0,0.2903643846511841,3.4316773414611816,0.2925058901309967
euler,10,10,10,True,0.12686529755592346,0.03159458562731743,0.023915077093988657,0.0843815952539444,0.0050029754638671875,0.0,0.128641739487648,0.7373838424682617,0.128641739487648
euler,10,10,10,False,0.1355089396238327,0.030418574810028076,0.023196826223284006,0.10426715016365051,0.0040090084075927734,0.0,0.22980673611164093,2.9304966926574707,0.23227733373641968
euler,20,20,20,True,0.06532273441553116,0.02858283370733261,0.022777640959247947,0.06718158721923828,0.010994672775268555,0.0,0.0619228258728981,0.34105777740478516,0.0619228258728981
euler,20,20,20,False,0.10365339368581772,0.028744466602802277,0.022629809798672795,0.09224925935268402,0.008011579513549805,0.0,0.20371131598949432,2.655200481414795,0.20700375735759735
euler,50,50,50,True,0.04379086568951607,0.027714800089597702,0.022388446843251586,0.05528159439563751,0.026498794555664062,0.0,0.024206914007663727,0.13007259368896484,0.024206914007663727
euler,50,50,50,False,0.08635126799345016,0.028072822839021683,0.022144251968711615,0.08544925600290298,0.018495559692382812,0.0,0.19011874496936798,2.487257957458496,0.19421809911727905
euler,100,100,100,True,0.041325654834508896,0.027538856491446495,0.0219058261718601,0.0502815842628479,0.04803133010864258,0.0,0.012012562714517117,0.06401395797729492,0.012012562714517117
euler,100,100,100,False,0.08124939352273941,0.027919160202145576,0.022141288965940475,0.08334925770759583,0.0365142822265625,0.0,0.18607604503631592,2.43403959274292,0.1904265284538269
heun,1,2,1,True,1.0646147727966309,0.12750890851020813,0.04663562153776487,0.47361740469932556,0.0015003681182861328,0.0,1.0672647953033447,6.298489093780518,1.0672647953033447
