solver,target_nfe,actual_nfe,steps,project_tangent,radial_w1,sliced_w1,angular_sw_mean,ks_stat,sample_time_s,nan_rate,drift_final_mean,drift_final_max,drift_traj_max_mean
euler,1,1,1,False,6.100485801696777,0.4972071945667267,0.05115232989192009,0.988034188747406,0.10851454734802246,0.0,6.230865955352783,8.091724395751953,6.230865955352783
euler,2,2,2,False,4.280883312225342,0.35015812516212463,0.042420909740030766,0.855555534362793,0.0014934539794921875,0.0,4.414581298828125,7.766153335571289,4.6229963302612305
euler,5,5,5,False,1.997416615486145,0.17685343325138092,0.02280658856034279,0.4623931646347046,0.0020008087158203125,0.0,2.321648359298706,6.247369766235352,3.712597608566284
euler,10,10,10,False,1.1277258396148682,0.11935708671808243,0.018959945999085903,0.27521368861198425,0.004002809524536133,0.0,1.7781662940979004,7.914497375488281,3.3680038452148438
euler,20,20,20,False,0.6527249217033386,0.09737437963485718,0.016165693290531635,0.16923078894615173,0.00749969482421875,0.0,1.592460036277771,8.799699783325195,3.214479923248291
euler,50,50,50,False,0.37573811411857605,0.09003154933452606,0.014996061800047755,0.10170942544937134,0.018496036529541016,0.0,1.5279955863952637,9.351573944091797,3.138514518737793
euler,100,100,100,False,0.2891724109649658,0.08890640735626221,0.014820408774539828,0.07863247394561768,0.04454517364501953,0.0,1.515388011932373,9.53934097290039,3.1160764694213867
heun,1,2,1,False,3.267333507537842,0.27115657925605774,0.03178725205361843,0.8042734861373901,0.0010004043579101562,0.0,3.3992393016815186,5.370223045349121,3.3992393016815186
heun,2,2,1,False,3.267333507537842,0.27115657925605774,0.03178725205361843,0.8042734861373901,0.0009984970092773438,0.0,3.3992393016815186,5.370223045349121,3.3992393016815186
heun,5,4,2,False,1.2928850650787354,0.13438034057617188,0.018521998543292284,0.3188033998012543,0.0020215511322021484,0.0,1.7456386089324951,6.061277389526367,2.997372627258301
heun,10,10,5,False,0.3092079758644104,0.08983563631772995,0.015115619171410799,0.08717948198318481,0.003499269485473633,0.0,1.4865580797195435,9.154886245727539,3.013681411743164
heun,20,20,10,False,0.23200799524784088,0.08855480700731277,0.014710553456097841,0.06324785947799683,0.007502079010009766,0.0,1.5007768869400024,9.582515716552734,3.075031280517578
heun,50,50,25,False,0.21509318053722382,0.08853311836719513,0.01506635919213295,0.05726498365402222,0.016499996185302734,0.0,1.5061421394348145,9.705169677734375,3.092099905014038
heun,100,100,50,False,0.21298879384994507,0.08853986114263535,0.015062652062624693,0.056410253047943115,0.03751039505004883,0.0,1.5070524215698242,9.723087310791016,3.0946080684661865
rk4,1,4,1,False,0.36738327145576477,0.09865662455558777,0.016354162245988846,0.10683763027191162,0.002001047134399414,0.0,1.4684007167816162,8.158597946166992,1.4684007167816162
rk4,2,4,1,False,0.36738327145576477,0.09865662455558777,0.016354162245988846,0.10683763027191162,0.002001047134399414,0.0,1.4684007167816162,8.158597946166992,1.4684007167816162
rk4,5,4,1,False,0.36738327145576477,0.09865662455558777,0.016354162245988846,0.10683763027191162,0.0014984607696533203,0.0,1.4684007167816162,8.158597946166992,1.4684007167816162
rk4,10,8,2,False,0.17473261058330536,0.089189812541008,0.01471661007963121,0.04273504018783569,0.0034999847412109375,0.0,1.5076428651809692,9.844812393188477,3.0167179107666016
rk4,20,20,5,False,0.2148803025484085,0.08852815628051758,0.014742839150130749,0.05726498365402222,0.00699925422668457,0.0,1.5084466934204102,9.730037689208984,3.0520284175872803
rk4,50,48,12,False,0.21237653493881226,0.08854203671216965,0.015070218360051513,0.056410253047943115,0.01649928092956543,0.0,1.5073785781860352,9.7291259765625,3.088646411895752
rk4,100,100,25,False,0.21232089400291443,0.08854255080223083,0.015070371562615037,0.056410253047943115,0.040495872497558594,0.0,1.5073719024658203,9.729116439819336,3.0938398838043213
