solver,target_nfe,actual_nfe,steps,project_tangent,radial_w1,sliced_w1,angular_sw_mean,ks_stat,sample_time_s,nan_rate,drift_final_mean,drift_final_max,drift_traj_max_mean
euler,1,1,1,False,0.44163140654563904,0.07005856931209564,0.044068288058042526,0.3781129717826843,0.10601949691772461,0.0,6.108622074127197,8.154617309570312,6.108622074127197
euler,2,2,2,False,0.520828902721405,0.06390966475009918,0.043964640237390995,0.31829601526260376,0.0014986991882324219,0.0,6.729389667510986,10.107532501220703,6.729429721832275
euler,5,5,5,False,0.2059406042098999,0.03754674270749092,0.027007495053112507,0.11969602108001709,0.0020012855529785156,0.0,6.413674354553223,10.025141716003418,6.426717758178711
euler,10,10,10,False,0.08647771179676056,0.03180662915110588,0.025317504070699215,0.06328952312469482,0.004499197006225586,0.0,6.21594762802124,9.82276725769043,6.250281810760498
euler,20,20,20,False,0.1307305246591568,0.032399170100688934,0.023632169235497713,0.11821296811103821,0.00750279426574707,0.0,6.113811016082764,9.727518081665039,6.157604694366455
euler,50,50,50,False,0.17273825407028198,0.034026555716991425,0.023416433483362198,0.14941295981407166,0.017505407333374023,0.0,6.051289081573486,9.672677040100098,6.100695610046387
euler,100,100,100,False,0.18847300112247467,0.03476975858211517,0.024452419951558113,0.1611129641532898,0.038510799407958984,0.0,6.030189514160156,9.6547269821167,6.081496715545654
heun,1,2,1,False,3.3633995056152344,0.3451962471008301,0.05832315608859062,0.9161233305931091,0.000997781753540039,0.0,2.845381498336792,5.231685638427734,2.845381498336792
heun,2,2,1,False,3.3633995056152344,0.3451962471008301,0.05832315608859062,0.9161233305931091,0.001499176025390625,0.0,2.845381498336792,5.231685638427734,2.845381498336792
heun,5,4,2,False,0.9553029537200928,0.10244902968406677,0.04061879962682724,0.6854174137115479,0.001497507095336914,0.0,5.253696918487549,8.030133247375488,5.257427215576172
heun,10,10,5,False,0.28808876872062683,0.040262263268232346,0.026156021282076836,0.24376021325588226,0.0039997100830078125,0.0,5.9247727394104,9.428297996520996,5.9611077308654785
heun,20,20,10,False,0.22065922617912292,0.03626829758286476,0.024491543881595135,0.18371295928955078,0.007517814636230469,0.0,5.993664741516113,9.597613334655762,6.0416035652160645
heun,50,50,25,False,0.20768462121486664,0.0356922373175621,0.02383107366040349,0.17311295866966248,0.017498016357421875,0.0,6.0068840980529785,9.631608009338379,6.05919885635376
heun,100,100,50,False,0.206136554479599,0.035630617290735245,0.024334026966243982,0.17211297154426575,0.03252220153808594,0.0,6.008457660675049,9.635664939880371,6.061452388763428
rk4,1,4,1,False,0.8415527939796448,0.09224256128072739,0.035902492702007294,0.554517388343811,0.0020034313201904297,0.0,5.367075443267822,8.029239654541016,5.367075443267822
rk4,2,4,1,False,0.8415527939796448,0.09224256128072739,0.035902492702007294,0.554517388343811,0.002003908157348633,0.0,5.367075443267822,8.029239654541016,5.367075443267822
rk4,5,4,1,False,0.8415527939796448,0.09224256128072739,0.035902492702007294,0.554517388343811,0.0020008087158203125,0.0,5.367075443267822,8.029239654541016,5.367075443267822
rk4,10,8,2,False,0.24453017115592957,0.03683152794837952,0.02381307492032647,0.2032129466533661,0.0025005340576171875,0.0,5.968863010406494,9.51278018951416,5.971984386444092
rk4,20,20,5,False,0.20815253257751465,0.03572801128029823,0.023967572953552008,0.17351296544075012,0.007508754730224609,0.0,6.00636100769043,9.630451202392578,6.044646739959717
rk4,50,48,12,False,0.2057112753391266,0.035614240914583206,0.023416627198457718,0.17191296815872192,0.0200040340423584,0.0,6.0088887214660645,9.636774063110352,6.059496879577637
rk4,100,100,25,False,0.20565538108348846,0.03561195731163025,0.02445875247940421,0.17191296815872192,0.03250002861022949,0.0,6.008946895599365,9.636919975280762,6.061559677124023
