step,loss,elapsed_s
200,187653.4375,0.5861423015594482
400,191350.25,0.9402234554290771
600,283929.09375,1.2953250408172607
800,95884.5078125,1.65089750289917
1000,30109.59765625,1.9974985122680664
1200,43696.07421875,2.34857439994812
1400,41568.48828125,2.7106692790985107
1600,147576.125,3.064253091812134
1800,21271.46484375,3.412335157394409
2000,45495.9375,3.783954381942749
2200,50357.6640625,4.154070854187012
2400,118443.4921875,4.511157274246216
2600,59584.1796875,4.87825608253479
2800,89573.828125,5.241344690322876
3000,104141.5703125,5.594937324523926
3200,40144.1171875,5.939504146575928
3400,58050.328125,6.292105436325073
3600,41454.95703125,6.657691478729248
3800,34962.09375,7.013789892196655
4000,70848.34375,7.371877431869507
4200,52265.1953125,7.7279393672943115
4400,31142.5546875,8.105021238327026
4600,63760.70703125,8.467097520828247
4800,111067.171875,8.822168827056885
5000,75977.1171875,9.180269479751587
5200,26411.09375,9.575854778289795
5400,48670.515625,9.930425882339478
5600,34513.61328125,10.293032884597778
5800,39867.66796875,10.647598505020142
6000,96738.25,11.002688646316528
6200,25915.359375,11.35826826095581
6400,101775.4375,11.713348388671875
6600,126094.609375,12.06641936302185
6800,46457.67578125,12.417497396469116
7000,23067.92578125,12.771078824996948
7200,37865.7421875,13.121638536453247
7400,26186.3671875,13.481729984283447
7600,31437.16015625,13.833794593811035
7800,46884.12890625,14.208396911621094
8000,31603.529296875,14.560974597930908
8200,31914.3125,14.924564361572266
8400,24195.154296875,15.284654140472412
8600,113130.515625,15.64922547340393
8800,71178.984375,16.011817932128906
9000,64669.5390625,16.37841510772705
9200,107854.015625,16.736489295959473
9400,228184.875,17.096598863601685
9600,78973.4375,17.4526686668396
9800,25012.939453125,17.804749250411987
10000,29596.70703125,18.15881657600403
