condition,method,status,metric,mean,std_population,std_sample,n
aniso_k1,C,complete,tail_exc_99,0.0002000003680586726,0.0,0.0,3
aniso_k1,C,complete,total_train_time_s,29.820918301741283,0.7329158971651544,0.8976349862143882,3
aniso_k1,tflow,complete,angular_sw_bin0,0.07789131750663121,0.008222172282673128,0.010070063334901987,3
aniso_k1,tflow,complete,angular_sw_bin1,0.08546742300192516,0.009567315438159293,0.011717520515871167,3
aniso_k1,tflow,complete,angular_sw_bin2,0.08965600033601125,0.00680651341970883,0.008336242402846417,3
aniso_k1,tflow,complete,angular_sw_bin3,0.09939457476139069,0.008020905004891266,0.009823562268659707,3
aniso_k1,tflow,complete,angular_sw_mean,0.08810232890148957,0.00803566708996999,0.00984164205665092,3
aniso_k1,tflow,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k1,tflow,complete,inf_rate,0.0,0.0,0.0,3
aniso_k1,tflow,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k1,tflow,complete,ks_stat,0.2508000085751216,0.029302217714960173,0.03588774086679724,3
aniso_k1,tflow,complete,mmd,0.12764247258504233,0.02368757305369316,0.029011233613224302,3
aniso_k1,tflow,complete,n_params,41504,0.0,0.0,3
aniso_k1,tflow,complete,nan_rate,0.0,0.0,0.0,3
aniso_k1,tflow,complete,nfe,512,0.0,0.0,3
aniso_k1,tflow,complete,q950_err,0.015133871305868222,0.008972717081347724,0.010989289227828332,3
aniso_k1,tflow,complete,q990_err,0.013990438736235917,0.0018816701716356187,0.002304565892361255,3
aniso_k1,tflow,complete,q995_err,0.016589980562369856,0.008630503240482486,0.010570164581309414,3
aniso_k1,tflow,complete,radial_w1,0.31734638412793476,0.04272667327645161,0.052329273966958176,3
aniso_k1,tflow,complete,sample_time_s,0.4202718672653039,0.0020029148697632625,0.002453059714576508,3
aniso_k1,tflow,complete,sliced_w1,0.5047250588734945,0.047046630861871316,0.057620119864330153,3
aniso_k1,tflow,complete,tail_exc_95,0.013066665952404355,0.0066655001769620175,0.00816353715699396,3
aniso_k1,tflow,complete,tail_exc_99,0.0018666666746139555,0.0003091206069291899,0.00037859387797798067,3
aniso_k1,tflow,complete,total_train_time_s,33.255557145923376,0.7605045992526769,0.9314241076044318,3
aniso_k10,A,complete,angular_sw_bin0,0.009979458215336004,0.0007490156236126174,0.000917353043611726,3
aniso_k10,A,complete,angular_sw_bin1,0.008214032277464867,0.0001764762333240711,0.0002161383616861615,3
aniso_k10,A,complete,angular_sw_bin2,0.009531539554397265,0.0008396060574723082,0.0010283032128785212,3
aniso_k10,A,complete,angular_sw_bin3,0.008574870570252338,0.0006154908281048625,0.0007538192351099925,3
aniso_k10,A,complete,angular_sw_mean,0.009074975154362619,0.0005253140458747733,0.0006433756835550945,3
aniso_k10,A,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k10,A,complete,inf_rate,0.0,0.0,0.0,3
aniso_k10,A,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k10,A,complete,ks_stat,0.012400031089782715,0.0,0.0,3
aniso_k10,A,complete,mmd,0.0002843141555786133,7.885800376781108e-05,9.658093568280522e-05,3
aniso_k10,A,complete,nan_rate,0.0,0.0,0.0,3
aniso_k10,A,complete,nfe,512,0.0,0.0,3
aniso_k10,A,complete,q950_err,0.0013593420858034294,8.852980500682242e-08,1.0842642464740319e-07,3
aniso_k10,A,complete,q990_err,0.0008078052251168665,1.3553317180168173e-07,1.6599355706754485e-07,3
aniso_k10,A,complete,q995_err,0.009980196061573144,7.532070064405205e-08,9.22486418234239e-08,3
aniso_k10,A,complete,radial_w1,0.07575116803248723,2.458566163135485e-08,3.0111162992770825e-08,3
aniso_k10,A,complete,sample_time_s,0.19283282508452734,0.00798954247099634,0.009785151166118049,3
aniso_k10,A,complete,sliced_w1,0.13433870921532312,0.013378667211544517,0.016385454053393957,3
aniso_k10,A,complete,tail_exc_95,0.000900001078844026,0.0,0.0,3
aniso_k10,A,complete,tail_exc_99,0.00010000005364418918,0.0,0.0,3
aniso_k10,A,complete,total_train_time_s,28.49544669687748,1.847442205999618,2.262645366990396,3
aniso_k10,B,complete,angular_sw_bin0,0.011246946640312672,0.00125446582145562,0.0015364005811638074,3
