step,loss,elapsed_s
200,5223.130859375,0.5666325092315674
400,4730.6396484375,0.9292044639587402
600,5140.513671875,1.324789047241211
800,5150.64111328125,1.6828863620758057
1000,5163.38818359375,2.0714807510375977
1200,4572.34619140625,2.438586711883545
1400,4372.8994140625,2.7972137928009033
1600,4383.6552734375,3.204799175262451
1800,4378.8466796875,3.585402011871338
2000,4357.78564453125,4.000986814498901
2200,4416.5576171875,4.36959433555603
2400,4137.37744140625,4.7581751346588135
2600,4173.9970703125,5.116750240325928
2800,4087.45654296875,5.520332336425781
3000,4135.056640625,5.885936498641968
3200,4099.806640625,6.286526679992676
3400,4554.7490234375,6.65110445022583
3600,4277.38916015625,7.096728801727295
3800,4334.6416015625,7.506851673126221
4000,4028.9111328125,7.938943386077881
4200,4398.4404296875,8.351550817489624
4400,3967.718994140625,8.810674667358398
4600,4048.740234375,9.218284606933594
4800,3966.27001953125,9.647890329360962
5000,3861.07177734375,10.051487922668457
5200,4099.0166015625,10.456093788146973
5400,4105.57275390625,10.83320164680481
5600,4355.5341796875,11.199795246124268
5800,4236.0234375,11.600385189056396
6000,4129.02734375,11.969499349594116
6200,3963.16064453125,12.35714840888977
6400,4052.59228515625,12.715706825256348
6600,4226.7900390625,13.0972900390625
6800,4074.3154296875,13.46839189529419
7000,4015.27783203125,13.878475427627563
7200,3991.828125,14.235033750534058
7400,4038.99267578125,14.618624687194824
7600,4119.4326171875,14.993716955184937
7800,4158.892578125,15.351288318634033
8000,4135.6005859375,15.72687554359436
8200,3957.349609375,16.093007802963257
8400,4046.01953125,16.49560046195984
8600,3993.22216796875,16.86470890045166
8800,3946.323486328125,17.22226881980896
9000,4222.78125,17.63336181640625
9200,3973.730224609375,17.99644684791565
9400,3997.70654296875,18.4515700340271
9600,3962.26611328125,18.81463861465454
9800,3934.149658203125,19.174221754074097
10000,4000.84619140625,19.551310062408447
