step,loss,elapsed_s
200,7234.0546875,0.8456571102142334
400,6517.2314453125,1.478332757949829
600,6984.7763671875,2.099998712539673
800,7337.2900390625,2.7191355228424072
1000,7474.4765625,3.3637874126434326
1200,6582.39453125,4.004972219467163
1400,6316.3408203125,4.658622980117798
1600,6457.40869140625,5.312331438064575
1800,6450.76171875,5.9500041007995605
2000,6556.01953125,6.607689619064331
2200,6630.71875,7.264347791671753
2400,6250.4609375,7.9200286865234375
2600,6362.0673828125,8.581692218780518
2800,6291.8173828125,9.22533893585205
3000,6353.44873046875,9.887494325637817
3200,6373.779296875,10.549144268035889
3400,6971.5986328125,11.205310344696045
3600,6637.599609375,11.857950448989868
3800,6462.208984375,12.526596784591675
4000,6284.869140625,13.22128677368164
4200,6840.564453125,13.896937608718872
4400,6240.9443359375,14.547067165374756
4600,6501.06640625,15.227272033691406
4800,6336.2314453125,15.882471084594727
5000,6025.1455078125,16.54964303970337
5200,6422.955078125,17.221304655075073
5400,6418.9296875,17.867943286895752
5600,6575.2373046875,18.52209734916687
5800,6713.673828125,19.167245626449585
6000,6495.328125,19.832921028137207
6200,6149.154296875,20.486077070236206
6400,6405.0869140625,21.137709379196167
6600,6659.109375,21.803892612457275
6800,6327.8984375,22.477030515670776
7000,6301.783203125,23.137195587158203
7200,6209.99560546875,23.820885181427002
7400,6354.9736328125,24.51408553123474
7600,6660.2099609375,25.178268432617188
7800,7068.1884765625,25.83595108985901
8000,6519.50341796875,26.489115715026855
8200,6254.6005859375,27.143266201019287
8400,6293.8037109375,27.817949533462524
8600,6279.357421875,28.477107286453247
8800,6221.65625,29.120279550552368
9000,6512.1162109375,29.767897844314575
9200,6263.2861328125,30.437088012695312
9400,6245.9248046875,31.108773469924927
9600,6282.59765625,31.761412858963013
9800,6194.5400390625,32.42658090591431
10000,6281.07373046875,33.08120894432068
