step,loss,elapsed_s
200,529535.625,0.9044995307922363
400,486888.5625,1.5604987144470215
600,461362.9375,2.220999002456665
800,451171.1875,2.887497901916504
1000,451729.6875,3.5884976387023926
1200,457496.0625,4.279498815536499
1400,447465.6875,4.960533618927002
1600,456710.65625,5.659534931182861
1800,453670.4375,6.355034112930298
2000,449243.5625,7.047034978866577
2200,437949.8125,7.7300355434417725
2400,443314.375,8.418535947799683
2600,445340.90625,9.108034133911133
2800,451613.9375,9.786039113998413
3000,440437.21875,10.46253514289856
3200,441014.125,11.153035163879395
3400,440752.125,11.840535163879395
3600,438310.84375,12.522034406661987
3800,440756.0625,13.205034732818604
4000,444637.59375,13.876534223556519
4200,446933.78125,14.570534706115723
4400,437799.5,15.266582012176514
4600,441021.125,15.960583209991455
4800,428754.65625,16.68457555770874
5000,441682.625,17.36908197402954
5200,447946.65625,18.068573713302612
5400,436318.1875,18.732075691223145
5600,447477.9375,19.41057562828064
5800,436340.375,20.106575965881348
6000,440786.6875,20.769073963165283
6200,441579.8125,21.43207836151123
6400,432321.125,22.106077432632446
6600,438892.125,22.806578636169434
6800,432757.6875,23.491076231002808
7000,440348.5,24.16757559776306
7200,439738.0625,24.847609758377075
7400,446225.9375,25.523113250732422
7600,430930.8125,26.23461151123047
7800,432932.1875,26.907610416412354
8000,441035.4375,27.579606533050537
8200,440922.8125,28.345608472824097
8400,431253.5625,29.04661250114441
8600,427422.5625,29.74561333656311
8800,437969.375,30.43510890007019
9000,425830.4375,31.11060929298401
9200,443041.8125,31.790108919143677
9400,435106.25,32.489609241485596
9600,443260.75,33.17610812187195
9800,436550.53125,33.87561535835266
10000,450047.375,34.583109617233276
