method,seed,cr_mmd,cr_sliced_w1,dir_mmd,dir_sliced_w1,dir_sw_bin0,dir_sw_bin1,dir_sw_bin2,dir_sw_bin3,mean_angular_err_deg,n_gen,n_valid_dir,nan_rate,nn_cos_gen2test,nn_cos_test2gen
gaussian_fm,65457,0.0020278375756723754,0.4126588846906857,0.002424884714294251,0.01565916077077986,0.01611991667713933,0.01993225771975462,0.015446473077639715,0.025510428438885183,29.74812402850175,10000,10000,0.0,0.13493187966291012,0.13320206432387882
gaussian_fm,77395,0.0047485552045193336,0.6804609320472373,0.005972990044308957,0.026797896780271502,0.01804211848495708,0.020814519653361712,0.028821046687284847,0.032741587504177584,29.395735757542905,10000,10000,0.0,0.131902698491615,0.13222124365374127
gaussian_fm,8925,0.0009111990513936963,0.4322841002743324,0.001095440683590132,0.016324341831367096,0.017272616329442825,0.01860789630235,0.018328682439501302,0.018196910783147644,29.238406266433717,10000,10000,0.0,0.13073916367200608,0.13190607777999663
msgm,65457,0.003433863320539632,0.4970520376418172,0.003855187781863556,0.01816616949331484,0.01566314412398948,0.017364792404577983,0.020796346201951893,0.025974174620745288,37.758796224772844,10000,10000,0.0,0.21578541127699777,0.16783249475321885
msgm,77395,0.0033033271771681916,0.44614463872860605,0.0038081608686212354,0.01608615598060326,0.01323897317700139,0.01574144661669564,0.018833497648439206,0.025333734393759823,35.68368111200096,10000,10000,0.0,0.19338770366369565,0.15646412736052506
msgm,8925,0.0027809794757475137,0.44583781480971574,0.0031631625496402194,0.0161684650281587,0.013223306407848124,0.01617808008902518,0.02025373089654967,0.02276240920196843,36.18467511335157,10000,10000,0.0,0.19903212267740847,0.15772661841830554
rafm_empirical,65457,0.0010175817746836957,0.29443782806623225,0.0013903543696968113,0.010284644849555151,0.012875998546809287,0.011526123249862743,0.012064102454937626,0.022676791806351803,29.713780509558216,10000,10000,0.0,0.13480057992469313,0.13121553237738648
rafm_empirical,77395,0.0009244844754047188,0.26205679891101613,0.001082366666860568,0.009424361394892868,0.011208675849731195,0.010357395802325482,0.013864115237587439,0.01529334305976036,29.382741687311608,10000,10000,0.0,0.13217856598434113,0.1316304803994739
rafm_empirical,8925,0.0009755415765506648,0.33076112548356246,0.001255866374473058,0.011772538287478772,0.01614853035297723,0.009999051916877706,0.013585532170703175,0.01896941873661262,29.884832761039025,10000,10000,0.0,0.13632318702916352,0.13445875317637151
rafm_empirical_no_proj,65457,0.0012760292370076476,0.30132177704284246,0.0017255137758024341,0.010528083770154798,0.012886781693674647,0.01107048586140285,0.011886414457450449,0.02223187472715916,29.511186002070467,10000,10000,0.0,0.13331954353786135,0.13187511913245267
rafm_empirical_no_proj,77395,0.0005176279850124255,0.2725586359293002,0.0006871276939927062,0.00942677315315791,0.011388731673303048,0.010247189312751514,0.014701017667782378,0.0184437402834681,29.38994509748118,10000,10000,0.0,0.13237069526621048,0.13192289274281313
rafm_empirical_no_proj,8925,0.001539550951091151,0.3101143345225407,0.0018801842275073533,0.010682361254838712,0.01211694157306492,0.010919453853827076,0.014061946780596557,0.01755070498968073,30.04679251414133,10000,10000,0.0,0.13779906502598996,0.13382239847437685
rafm_oracle,65457,0.0009619602497021873,0.290909885489539,0.0013159669002689167,0.010113354999898462,0.01136563693800666,0.014252049750029788,0.011515106335896265,0.020677835911685975,29.75041325882534,10000,10000,0.0,0.13509294589892515,0.13165503963070596
rafm_oracle,77395,0.0009370397187414836,0.2607947213792119,0.00109482892314694,0.009379082774201146,0.010529751929729445,0.013655219611129229,0.013583173991633125,0.014425591591171379,29.433462600794993,10000,10000,0.0,0.13263352580176843,0.1318509903546358
rafm_oracle,8925,0.0010223415279371206,0.3321117361375577,0.0013103164673030632,0.0118417446203611,0.01218863515193676,0.0117953799879851,0.01330108718778079,0.020281267296144587,29.949965391119612,10000,10000,0.0,0.13693779824144142,0.13470409343915957
source_only_empirical,65457,0.0011436944057280352,0.399184224263455,0.0015280607658700873,0.014597671802368163,0.01355601018924975,0.014849571064385612,0.016609347766390687,0.022469921048540068,29.27925094768337,10000,10000,0.0,0.13156789079889925,0.12881231286103367
source_only_empirical,77395,0.0025560369532526828,0.4185436975710692,0.0029995683280253926,0.016356091525911085,0.017066802509771495,0.018578471090175883,0.020428011958698415,0.02805551065545372,28.96446339628676,10000,10000,0.0,0.12929379170781238,0.1287122812238865
source_only_empirical,8925,0.0009982228099625345,0.34305374209162703,0.0012385272539041647,0.012296283592335458,0.014067297047047083,0.012944178900536453,0.013423580108570272,0.020252241973291115,29.35018732792784,10000,10000,0.0,0.13226502144765964,0.13006327426172226
source_only_oracle,65457,0.001089790601981333,0.396822337522932,0.0014468636878625096,0.01448702339788518,0.013173932030967114,0.01816986673288374,0.012200767187035319,0.021469202255999197,29.316404431460445,10000,10000,0.0,0.13183266613348338,0.1288940600427858
source_only_oracle,77395,0.0025759650635363007,0.41921881085852464,0.0030235171499112257,0.01637147654827697,0.017397411273140644,0.01824581297550307,0.022583378864595712,0.023583652342224277,29.009099438363005,10000,10000,0.0,0.12970167822489448,0.12869704048792635
source_only_oracle,8925,0.0009955835444680483,0.3438841502906489,0.0012343946435985353,0.012350150826426433,0.013194941457259015,0.013549017376839395,0.01347919518844524,0.020986971071224155,29.432724771064795,10000,10000,0.0,0.1330376273110775,0.13058268405771292
