method,seed,cr_mmd,cr_sliced_w1,dir_mmd,dir_sliced_w1,dir_sw_bin0,dir_sw_bin1,dir_sw_bin2,dir_sw_bin3,mean_angular_err_deg,n_gen,n_valid_dir,nan_rate,nn_cos_gen2test,nn_cos_test2gen
gaussian_fm,65457,0.0010122428740116929,0.346709748059646,0.0013060576096747267,0.01188983917174883,0.01274496172514197,0.011606977727664987,0.013170674991628098,0.01616158543701551,30.013320634830347,10000,10000,0.0,0.13736236041652558,0.1352364178788444
gaussian_fm,77395,0.0001995317091603166,0.2602659387428231,0.0002927563911585551,0.00806677705531933,0.01247059829698853,0.012331782924938896,0.010044869208833154,0.014593719299892345,29.753312702519025,10000,10000,0.0,0.13509724621280436,0.13339625064599464
gaussian_fm,8925,0.0016800307447794038,0.32845047899112595,0.002263257692228682,0.01104259707946624,0.011932532623702393,0.01267962329489464,0.015162959524807241,0.02047158855643668,29.691422022946536,10000,10000,0.0,0.13446736415934843,0.13338093667970663
rafm_empirical,65457,0.0013443110502914246,0.35274317831782637,0.001627511334573506,0.01198732884814104,0.01179621379532334,0.015179587482277015,0.01486392272608942,0.013707046625001544,29.19385326621949,10000,10000,0.0,0.13033635122535644,0.12965849549905148
rafm_empirical,77395,0.0003647994059979842,0.257158334889774,0.0004833108880695214,0.008116558948022786,0.012569907699231457,0.011404382144582313,0.010014359562385054,0.01027192177587128,28.969474615963563,10000,10000,0.0,0.1285664122619255,0.12840205343230418
rafm_empirical,8925,0.00013067544396827557,0.2614708620621867,0.00022142416796178122,0.00873438115575305,0.013591964066239148,0.011166624877097579,0.010135647588159918,0.01208202048074701,28.87940330865666,10000,10000,0.0,0.12776626644853092,0.12877189647333198
rafm_oracle,65457,0.0014047682015980723,0.35485800296709974,0.0017281779042801482,0.012131909834595698,0.012074603408667742,0.017255517404132156,0.013840516042119694,0.013368184163726121,29.21012121482024,10000,10000,0.0,0.13067384241425323,0.1296576289369491
rafm_oracle,77395,0.000395844902332132,0.25787329539988413,0.0005206006507874061,0.008191728604317241,0.013188558245294814,0.009480791137855119,0.011396909040142036,0.011191486616764983,29.004744143802487,10000,10000,0.0,0.1288918455790252,0.12918799455554625
rafm_oracle,8925,0.00011096501698659722,0.26132197613845787,0.00021376227325564656,0.008681369218844267,0.011140100991938656,0.012968623462739833,0.009709209761391255,0.014505366179659572,28.87774438551832,10000,10000,0.0,0.1277382098877541,0.1288141583142545
source_only_empirical,65457,0.0012219013367739118,0.36215937618327426,0.0015353068509177392,0.012163464744591464,0.01450523114886056,0.01602745509207436,0.015704611489464497,0.01374928609006756,29.093883141376878,10000,10000,0.0,0.13000697500497393,0.12824186822859937
source_only_empirical,77395,0.0004901017009724118,0.340846057125455,0.0006463639622825701,0.011569701224982428,0.01293709556898643,0.015595195791196989,0.01140214436196851,0.013482727230263914,28.78213644994617,10000,10000,0.0,0.1274424798123737,0.12789980529574285
source_only_empirical,8925,0.0009173653642275958,0.31140909751291584,0.0013066571082843703,0.010165770508642789,0.01661471274166658,0.013785233935014315,0.010817229978747109,0.013197021859650018,28.803995213589975,10000,10000,0.0,0.1275344914154592,0.12734148138866971
source_only_oracle,65457,0.0012473587487151772,0.36208838191918175,0.0015764147735759515,0.012225459527211224,0.014272027512948577,0.016466608236131216,0.015855419392795878,0.015523104561609357,29.146730408591125,10000,10000,0.0,0.13054979684681262,0.12840768578404368
source_only_oracle,77395,0.0004983784808433311,0.3463526128445123,0.000660797879783348,0.011844312097000036,0.01329469607783514,0.013642340461061303,0.010674925629504596,0.01661851184565851,28.81094853177781,10000,10000,0.0,0.12763209822931063,0.12848544496665681
source_only_oracle,8925,0.0008921157918322375,0.3099876319962681,0.001282240502685994,0.010071208752465232,0.016048135323575664,0.01257432555000569,0.010975249547248609,0.015231013156185602,28.80731524001406,10000,10000,0.0,0.1275590614211778,0.12778866113415563
