method,seed,cr_mmd,cr_sliced_w1,dir_mmd,dir_sliced_w1,dir_sw_bin0,dir_sw_bin1,dir_sw_bin2,dir_sw_bin3,mean_angular_err_deg,n_gen,n_valid_dir,nan_rate,nn_cos_gen2test,nn_cos_test2gen
gaussian_fm,65457,0.005353204141329004,0.13705286164220007,0.005992809240785157,0.014524776971900192,0.013753350658054171,0.0159479074951409,0.020249814322986965,0.023168720014582315,46.77590377145419,2871,2871,0.0,0.33247848542651626,0.3296032548472605
gaussian_fm,77395,0.008749337892649867,0.1684012991188786,0.010599771289162896,0.01835161683601423,0.01434699175759515,0.02212706730131944,0.026055594337103048,0.034912290844651854,47.32984110069863,2871,2871,0.0,0.3377452892532438,0.33199916897826726
gaussian_fm,8925,0.006376890691520587,0.1494151422024098,0.006706609694024812,0.016211263014629006,0.015949970623932174,0.020059043938443318,0.022327152255540605,0.021613696697014875,47.54428109320461,2871,2871,0.0,0.34133072467578235,0.33083393020946744
rafm_empirical,65457,0.0052605785843446995,0.13259422871257087,0.005422235423191979,0.013451122746382714,0.01442439252056659,0.01569595433949917,0.01971999457494529,0.019601632488579154,48.26791659611439,2871,2871,0.0,0.3479457278224012,0.33787898624118606
rafm_empirical,77395,0.004887100841870051,0.12699989523741637,0.005080822585299072,0.012529752263291045,0.012760318529271383,0.015414437600996513,0.016584646745643365,0.01947210597145541,47.676594355169215,2871,2871,0.0,0.3409010843842597,0.33566222839849136
rafm_empirical,8925,0.005188852060777793,0.13161613867610458,0.0052391381318279695,0.013043860250548281,0.013289048842027125,0.015925955437256133,0.01660846055638108,0.019894803092417757,48.188134097144875,2871,2871,0.0,0.3467999072253548,0.336674025863792
source_only_empirical,65457,0.005430025296535024,0.13392021489072056,0.0062495603128501775,0.014362700184184896,0.01496099362769369,0.018311077814629897,0.02114500162092406,0.022101021983016885,45.66604792172091,2871,2871,0.0,0.31668242881275627,0.3302240420289775
source_only_empirical,77395,0.005223317874087807,0.13310128785413336,0.00575992653260704,0.013655803525977436,0.013008174615988946,0.01721229789015723,0.01996397564705345,0.023204324198621104,46.35206632452573,2871,2871,0.0,0.324413089851547,0.33074032139040427
source_only_empirical,8925,0.006424089175112058,0.14401585813658657,0.008170648506320322,0.015560713970966982,0.015547653663646356,0.018859694601288182,0.019134395783814217,0.023684348637094833,44.874905486846004,2871,2871,0.0,0.3064428466779103,0.32836115628075524
