dim,method,metric,mean,std,n_seeds
8.0,gaussian_fm,mmd,0.000553767,0.00014806,3
8.0,gaussian_fm,nan_rate,0,0,3
8.0,gaussian_fm,nfe,512,0,3
8.0,gaussian_fm,q950_err,0.0270246,0.0164478,3
8.0,gaussian_fm,q990_err,0.0600941,0.0555636,3
8.0,gaussian_fm,q995_err,0.0448987,0.0469052,3
8.0,gaussian_fm,radial_w1,0.410911,0.11793,3
8.0,gaussian_fm,sample_time_s,0.149864,0.000464971,3
8.0,gaussian_fm,sliced_w1,0.205384,0.0234168,3
8.0,gaussian_fm,tail_exc_95,0.00386667,0.00242808,3
8.0,gaussian_fm,tail_exc_99,0.00216667,0.00159234,3
8.0,gaussian_fm,total_train_time_s,17.1423,0.0595573,3
8.0,rafm_empirical,angular_sw_bin0,0.0168042,0.000811738,3
8.0,rafm_empirical,angular_sw_bin1,0.013416,0.000529603,3
8.0,rafm_empirical,angular_sw_bin2,0.0169045,0.00271699,3
8.0,rafm_empirical,angular_sw_bin3,0.0180876,0.00243625,3
8.0,rafm_empirical,angular_sw_mean,0.0163031,0.000988789,3
8.0,rafm_empirical,exploding_norm_rate,0,0,3
8.0,rafm_empirical,invalid_rate,0,0,3
8.0,rafm_empirical,ks_stat,0.0118333,0.00284058,3
8.0,rafm_empirical,mmd,0.000331203,4.09847e-05,3
8.0,rafm_empirical,nan_rate,0,0,3
8.0,rafm_empirical,nfe,512,0,3
8.0,rafm_empirical,q950_err,0.0101092,0.00692423,3
8.0,rafm_empirical,q990_err,0.0104335,0.00506316,3
8.0,rafm_empirical,q995_err,0.0318148,0.00459347,3
8.0,rafm_empirical,radial_w1,0.150409,0.00676445,3
8.0,rafm_empirical,sample_time_s,0.2754,0.0226348,3
8.0,rafm_empirical,sliced_w1,0.171543,0.0135692,3
8.0,rafm_empirical,tail_exc_95,0.00146667,0.000805535,3
8.0,rafm_empirical,tail_exc_99,0.0007,0.000408248,3
8.0,rafm_empirical,total_train_time_s,32.8201,0.251397,3
8.0,rafm_oracle,angular_sw_bin0,0.0164657,0.00141274,3
8.0,rafm_oracle,angular_sw_bin1,0.0176402,0.00176735,3
8.0,rafm_oracle,angular_sw_bin2,0.0191334,0.00486211,3
8.0,rafm_oracle,angular_sw_bin3,0.0159385,0.001184,3
8.0,rafm_oracle,angular_sw_mean,0.0172945,0.000910002,3
8.0,rafm_oracle,exploding_norm_rate,0,0,3
8.0,rafm_oracle,invalid_rate,0,0,3
8.0,rafm_oracle,ks_stat,0.0154667,0.000731818,3
8.0,rafm_oracle,mmd,0.000354528,4.64883e-05,3
8.0,rafm_oracle,nan_rate,0,0,3
8.0,rafm_oracle,nfe,512,0,3
8.0,rafm_oracle,q950_err,0.0171817,0.006374,3
8.0,rafm_oracle,q990_err,0.0104576,0.0021742,3
8.0,rafm_oracle,q995_err,0.0489022,0.0233889,3
8.0,rafm_oracle,radial_w1,0.178961,0.0275958,3
8.0,rafm_oracle,sample_time_s,0.25739,0.00417767,3
8.0,rafm_oracle,sliced_w1,0.168042,0.0111641,3
8.0,rafm_oracle,tail_exc_95,0.0022,0.000509903,3
8.0,rafm_oracle,tail_exc_99,0.0003,0.000141421,3
8.0,rafm_oracle,total_train_time_s,32.7823,0.0954349,3
8.0,source_only_empirical,angular_sw_bin0,0.0150824,0.00260169,3
8.0,source_only_empirical,angular_sw_bin1,0.0155225,0.000542744,3
8.0,source_only_empirical,angular_sw_bin2,0.0158085,0.00215956,3
8.0,source_only_empirical,angular_sw_bin3,0.0170026,0.00461289,3
8.0,source_only_empirical,angular_sw_mean,0.015854,0.00147327,3
8.0,source_only_empirical,exploding_norm_rate,0,0,3
8.0,source_only_empirical,invalid_rate,0,0,3
8.0,source_only_empirical,ks_stat,0.0171,0.00372647,3
8.0,source_only_empirical,mmd,0.000331283,5.46874e-05,3
8.0,source_only_empirical,nan_rate,0,0,3
8.0,source_only_empirical,nfe,512,0,3
8.0,source_only_empirical,q950_err,0.0149706,0.00109175,3
8.0,source_only_empirical,q990_err,0.0479398,0.0226925,3
8.0,source_only_empirical,q995_err,0.0329571,0.0241321,3
8.0,source_only_empirical,radial_w1,0.183859,0.012838,3
8.0,source_only_empirical,sample_time_s,0.15905,0.00180161,3
8.0,source_only_empirical,sliced_w1,0.17649,0.0173516,3
8.0,source_only_empirical,tail_exc_95,0.00193333,9.42804e-05,3
8.0,source_only_empirical,tail_exc_99,0.00166667,0.000377123,3
8.0,source_only_empirical,total_train_time_s,18.0705,0.0969416,3
16.0,gaussian_fm,angular_sw_bin0,0.0221592,0.00538762,3
16.0,gaussian_fm,angular_sw_bin1,0.0248088,0.00521586,3
16.0,gaussian_fm,angular_sw_bin2,0.0267289,0.0068191,3
16.0,gaussian_fm,angular_sw_bin3,0.0268824,0.00466591,3
16.0,gaussian_fm,angular_sw_mean,0.0251448,0.00547139,3
16.0,gaussian_fm,exploding_norm_rate,0,0,3
16.0,gaussian_fm,invalid_rate,0,0,3
16.0,gaussian_fm,ks_stat,0.0719334,0.0480086,3
16.0,gaussian_fm,mmd,0.00398306,0.00128158,3
16.0,gaussian_fm,nan_rate,0,0,3
16.0,gaussian_fm,nfe,512,0,3
16.0,gaussian_fm,q950_err,0.0487461,0.0106934,3
16.0,gaussian_fm,q990_err,0.244453,0.011815,3
16.0,gaussian_fm,q995_err,0.324749,0.0276978,3
16.0,gaussian_fm,radial_w1,1.74865,0.743886,3
16.0,gaussian_fm,sample_time_s,0.14553,0.00641998,3
16.0,gaussian_fm,sliced_w1,0.690186,0.0918018,3
16.0,gaussian_fm,tail_exc_95,0.0133667,0.00349889,3
16.0,gaussian_fm,tail_exc_99,0.00926667,0.000498888,3
16.0,gaussian_fm,total_train_time_s,17.083,0.0270966,3
16.0,rafm_empirical,angular_sw_bin0,0.0145993,0.00076689,3
16.0,rafm_empirical,angular_sw_bin1,0.011838,0.000690617,3
16.0,rafm_empirical,angular_sw_bin2,0.0142593,0.00145589,3
16.0,rafm_empirical,angular_sw_bin3,0.0108826,0.000944449,3
16.0,rafm_empirical,angular_sw_mean,0.0128948,0.000176676,3
16.0,rafm_empirical,exploding_norm_rate,0,0,3
16.0,rafm_empirical,invalid_rate,0,0,3
16.0,rafm_empirical,ks_stat,0.0114333,0.00240046,3
16.0,rafm_empirical,mmd,0.000419696,5.97249e-05,3
16.0,rafm_empirical,nan_rate,0,0,3
16.0,rafm_empirical,nfe,512,0,3
16.0,rafm_empirical,q950_err,0.0059702,0.0044199,3
16.0,rafm_empirical,q990_err,0.0192832,0.0130692,3
16.0,rafm_empirical,q995_err,0.0442469,0.00665363,3
16.0,rafm_empirical,radial_w1,0.190436,0.0183899,3
16.0,rafm_empirical,sample_time_s,0.268885,0.0123475,3
16.0,rafm_empirical,sliced_w1,0.245426,0.0117062,3
16.0,rafm_empirical,tail_exc_95,0.000866667,0.000694421,3
16.0,rafm_empirical,tail_exc_99,0.000333333,0.000262467,3
16.0,rafm_empirical,total_train_time_s,32.7462,0.129668,3
16.0,rafm_oracle,angular_sw_bin0,0.0154038,0.00149829,3
16.0,rafm_oracle,angular_sw_bin1,0.0147821,0.00129657,3
16.0,rafm_oracle,angular_sw_bin2,0.0144463,0.00154409,3
16.0,rafm_oracle,angular_sw_bin3,0.0113979,0.000183713,3
16.0,rafm_oracle,angular_sw_mean,0.0140075,0.000682769,3
16.0,rafm_oracle,exploding_norm_rate,0,0,3
16.0,rafm_oracle,invalid_rate,0,0,3
16.0,rafm_oracle,ks_stat,0.0118333,0.000188544,3
16.0,rafm_oracle,mmd,0.000394583,5.43828e-05,3
16.0,rafm_oracle,nan_rate,0,0,3
16.0,rafm_oracle,nfe,512,0,3
16.0,rafm_oracle,q950_err,0.0148153,0.0093815,3
16.0,rafm_oracle,q990_err,0.0223834,0.00302202,3
16.0,rafm_oracle,q995_err,0.0567329,0.047844,3
16.0,rafm_oracle,radial_w1,0.253461,0.0786556,3
16.0,rafm_oracle,sample_time_s,0.263395,0.00554609,3
16.0,rafm_oracle,sliced_w1,0.242421,0.0108171,3
16.0,rafm_oracle,tail_exc_95,0.00303333,0.00196016,3
16.0,rafm_oracle,tail_exc_99,0.0008,0.000163299,3
16.0,rafm_oracle,total_train_time_s,32.8098,0.258895,3
16.0,source_only_empirical,angular_sw_bin0,0.0139282,0.00256765,3
16.0,source_only_empirical,angular_sw_bin1,0.0157149,0.00170589,3
16.0,source_only_empirical,angular_sw_bin2,0.0159817,0.0031411,3
16.0,source_only_empirical,angular_sw_bin3,0.0118964,0.000362067,3
16.0,source_only_empirical,angular_sw_mean,0.0143803,0.00159001,3
16.0,source_only_empirical,exploding_norm_rate,0,0,3
16.0,source_only_empirical,invalid_rate,0,0,3
16.0,source_only_empirical,ks_stat,0.0235334,0.00231565,3
16.0,source_only_empirical,mmd,0.000554164,9.8229e-05,3
16.0,source_only_empirical,nan_rate,0,0,3
16.0,source_only_empirical,nfe,512,0,3
16.0,source_only_empirical,q950_err,0.0276606,0.00103061,3
16.0,source_only_empirical,q990_err,0.0371094,0.0104442,3
16.0,source_only_empirical,q995_err,0.0423648,0.0175076,3
16.0,source_only_empirical,radial_w1,0.493535,0.0698712,3
16.0,source_only_empirical,sample_time_s,0.172373,0.00194553,3
16.0,source_only_empirical,sliced_w1,0.277907,0.0185142,3
16.0,source_only_empirical,tail_exc_95,0.00576667,0.000449692,3
16.0,source_only_empirical,tail_exc_99,0.00133333,0.000402768,3
16.0,source_only_empirical,total_train_time_s,18.0318,0.0616774,3
32.0,gaussian_fm,angular_sw_bin0,0.0279551,0.00257565,3
32.0,gaussian_fm,angular_sw_bin1,0.0184951,0.00187343,3
32.0,gaussian_fm,angular_sw_bin2,0.020293,0.00312219,3
32.0,gaussian_fm,angular_sw_bin3,0.0209309,0.00543986,3
32.0,gaussian_fm,angular_sw_mean,0.0219185,0.00176539,3
32.0,gaussian_fm,exploding_norm_rate,0,0,3
32.0,gaussian_fm,invalid_rate,0,0,3
32.0,gaussian_fm,ks_stat,0.353733,0.00476748,3
32.0,gaussian_fm,mmd,0.00705242,0.00195842,3
32.0,gaussian_fm,nan_rate,0,0,3
32.0,gaussian_fm,nfe,512,0,3
32.0,gaussian_fm,q950_err,0.0884901,0.00572021,3
32.0,gaussian_fm,q990_err,0.303727,0.00965298,3
32.0,gaussian_fm,q995_err,0.3997,0.0143362,3
32.0,gaussian_fm,radial_w1,9.83414,0.0928659,3
32.0,gaussian_fm,sample_time_s,0.171211,0.016159,3
32.0,gaussian_fm,sliced_w1,1.44016,0.131278,3
32.0,gaussian_fm,tail_exc_95,0.0355,0.00311555,3
32.0,gaussian_fm,tail_exc_99,0.00996667,4.71405e-05,3
32.0,gaussian_fm,total_train_time_s,17.2589,0.0615278,3
32.0,rafm_empirical,angular_sw_bin0,0.011369,0.000985746,3
32.0,rafm_empirical,angular_sw_bin1,0.0100577,0.000544392,3
32.0,rafm_empirical,angular_sw_bin2,0.0103403,0.000420059,3
32.0,rafm_empirical,angular_sw_bin3,0.0115354,0.000537216,3
32.0,rafm_empirical,angular_sw_mean,0.0108256,0.000304944,3
32.0,rafm_empirical,exploding_norm_rate,0,0,3
32.0,rafm_empirical,invalid_rate,0,0,3
32.0,rafm_empirical,ks_stat,0.0117,0.00228619,3
32.0,rafm_empirical,mmd,0.000662764,0.000172835,3
32.0,rafm_empirical,nan_rate,0,0,3
32.0,rafm_empirical,nfe,512,0,3
32.0,rafm_empirical,q950_err,0.0165614,0.00613669,3
32.0,rafm_empirical,q990_err,0.0219302,0.0100019,3
32.0,rafm_empirical,q995_err,0.0306168,0.0127999,3
32.0,rafm_empirical,radial_w1,0.435264,0.0648901,3
32.0,rafm_empirical,sample_time_s,0.259894,0.0319617,3
32.0,rafm_empirical,sliced_w1,0.429712,0.0515214,3
32.0,rafm_empirical,tail_exc_95,0.00346667,0.00115566,3
32.0,rafm_empirical,tail_exc_99,0.000566666,0.000235702,3
32.0,rafm_empirical,total_train_time_s,33.1706,0.408192,3
32.0,rafm_oracle,angular_sw_bin0,0.0113992,0.00110093,3
32.0,rafm_oracle,angular_sw_bin1,0.010726,0.000425138,3
32.0,rafm_oracle,angular_sw_bin2,0.0100775,0.00149187,3
32.0,rafm_oracle,angular_sw_bin3,0.00999668,0.00150859,3
32.0,rafm_oracle,angular_sw_mean,0.0105498,0.000518165,3
