dim,method,metric,mean,std,n_seeds
128.0,rafm_oracle,nan_rate,0,0,3
128.0,rafm_oracle,nfe,512,0,3
128.0,rafm_oracle,q950_err,0.0116191,0.00387825,3
128.0,rafm_oracle,q990_err,0.0321975,0.011271,3
128.0,rafm_oracle,q995_err,0.0437671,0.0350982,3
128.0,rafm_oracle,radial_w1,1.09774,0.262914,3
128.0,rafm_oracle,sample_time_s,0.314903,0.017916,3
128.0,rafm_oracle,sliced_w1,1.01566,0.0356158,3
128.0,rafm_oracle,tail_exc_95,0.00373333,0.00138163,3
128.0,rafm_oracle,tail_exc_99,0.00176667,0.00101434,3
128.0,rafm_oracle,total_train_time_s,32.9505,0.211748,3
128.0,source_only_empirical,angular_sw_bin0,0.00693936,0.000100421,3
128.0,source_only_empirical,angular_sw_bin1,0.00619375,0.000521904,3
128.0,source_only_empirical,angular_sw_bin2,0.00594893,0.000425063,3
128.0,source_only_empirical,angular_sw_bin3,0.00600826,0.000183653,3
128.0,source_only_empirical,angular_sw_mean,0.00627258,0.000164799,3
128.0,source_only_empirical,exploding_norm_rate,0,0,3
128.0,source_only_empirical,invalid_rate,0,0,3
128.0,source_only_empirical,ks_stat,0.1883,0.00524278,3
128.0,source_only_empirical,mmd,0.00230662,8.68782e-05,3
128.0,source_only_empirical,nan_rate,0,0,3
128.0,source_only_empirical,nfe,512,0,3
128.0,source_only_empirical,q950_err,0.106548,0.0086209,3
128.0,source_only_empirical,q990_err,0.0999229,0.0249418,3
128.0,source_only_empirical,q995_err,0.0947453,0.017768,3
128.0,source_only_empirical,radial_w1,18.6834,0.183953,3
128.0,source_only_empirical,sample_time_s,0.188378,0.00131214,3
128.0,source_only_empirical,sliced_w1,1.6819,0.0232827,3
128.0,source_only_empirical,tail_exc_95,0.0462333,0.00287093,3
128.0,source_only_empirical,tail_exc_99,0.0055,0.000993311,3
128.0,source_only_empirical,total_train_time_s,18.8556,0.176511,3
256.0,gaussian_fm,exploding_norm_rate,0,0,3
256.0,gaussian_fm,invalid_rate,0,0,3
256.0,gaussian_fm,ks_stat,1,0,3
256.0,gaussian_fm,mmd,0.150966,0.000558058,3
256.0,gaussian_fm,nan_rate,0,0,3
256.0,gaussian_fm,nfe,512,0,3
256.0,gaussian_fm,q950_err,0.822426,0.00175208,3
256.0,gaussian_fm,q990_err,0.860141,0.00149361,3
256.0,gaussian_fm,q995_err,0.874709,0.00224326,3
256.0,gaussian_fm,radial_w1,347.687,0.623387,3
256.0,gaussian_fm,sample_time_s,0.343919,0.00387484,3
256.0,gaussian_fm,sliced_w1,17.8086,0.0807544,3
256.0,gaussian_fm,tail_exc_95,0.05,0,3
256.0,gaussian_fm,tail_exc_99,0.01,0,3
256.0,gaussian_fm,total_train_time_s,17.6768,0.146226,3
256.0,rafm_empirical,angular_sw_bin0,0.0038101,2.29813e-05,3
256.0,rafm_empirical,angular_sw_bin1,0.00354002,6.86383e-05,3
256.0,rafm_empirical,angular_sw_bin2,0.00380853,0.000181624,3
256.0,rafm_empirical,angular_sw_bin3,0.00383829,0.000125928,3
256.0,rafm_empirical,angular_sw_mean,0.00374924,7.52488e-05,3
256.0,rafm_empirical,exploding_norm_rate,0,0,3
256.0,rafm_empirical,invalid_rate,0,0,3
256.0,rafm_empirical,ks_stat,0.0169,0.000909241,3
256.0,rafm_empirical,mmd,0.000717282,6.68534e-05,3
256.0,rafm_empirical,nan_rate,0,0,3
256.0,rafm_empirical,nfe,512,0,3
256.0,rafm_empirical,q950_err,0.0136338,0.00313286,3
256.0,rafm_empirical,q990_err,0.0264476,0.0101254,3
256.0,rafm_empirical,q995_err,0.0351661,0.0364366,3
256.0,rafm_empirical,radial_w1,2.70324,0.138388,3
256.0,rafm_empirical,sample_time_s,0.607647,0.000716508,3
256.0,rafm_empirical,sliced_w1,1.24117,0.05666,3
256.0,rafm_empirical,tail_exc_95,0.00356667,0.00115566,3
256.0,rafm_empirical,tail_exc_99,0.000833333,0.000339934,3
256.0,rafm_empirical,total_train_time_s,33.8973,0.0939448,3
256.0,rafm_oracle,angular_sw_bin0,0.00383659,0.000242757,3
256.0,rafm_oracle,angular_sw_bin1,0.00353546,0.000125804,3
256.0,rafm_oracle,angular_sw_bin2,0.00366333,0.000128142,3
256.0,rafm_oracle,angular_sw_bin3,0.003854,0.000216711,3
256.0,rafm_oracle,angular_sw_mean,0.00372235,0.000144062,3
256.0,rafm_oracle,exploding_norm_rate,0,0,3
256.0,rafm_oracle,invalid_rate,0,0,3
256.0,rafm_oracle,ks_stat,0.0198333,0.00397521,3
256.0,rafm_oracle,mmd,0.000715057,6.63235e-05,3
256.0,rafm_oracle,nan_rate,0,0,3
256.0,rafm_oracle,nfe,512,0,3
256.0,rafm_oracle,q950_err,0.00830286,0.000962256,3
256.0,rafm_oracle,q990_err,0.0205296,0.010092,3
256.0,rafm_oracle,q995_err,0.0198024,0.0131263,3
256.0,rafm_oracle,radial_w1,2.67627,0.177142,3
256.0,rafm_oracle,sample_time_s,0.606309,0.00288163,3
256.0,rafm_oracle,sliced_w1,1.22121,0.0368139,3
256.0,rafm_oracle,tail_exc_95,0.00266667,0.000579271,3
256.0,rafm_oracle,tail_exc_99,0.0007,0.000355903,3
256.0,rafm_oracle,total_train_time_s,34.2696,0.505525,3
256.0,source_only_empirical,angular_sw_bin0,0.00573768,0.000230391,3
256.0,source_only_empirical,angular_sw_bin1,0.0044853,0.000224476,3
256.0,source_only_empirical,angular_sw_bin2,0.00370948,0.000285183,3
256.0,source_only_empirical,angular_sw_bin3,0.00363419,0.000303545,3
256.0,source_only_empirical,angular_sw_mean,0.00439166,0.000115197,3
256.0,source_only_empirical,exploding_norm_rate,0,0,3
256.0,source_only_empirical,invalid_rate,0,0,3
256.0,source_only_empirical,ks_stat,0.314767,0.0114427,3
256.0,source_only_empirical,mmd,0.00287116,0.000290881,3
256.0,source_only_empirical,nan_rate,0,0,3
256.0,source_only_empirical,nfe,512,0,3
256.0,source_only_empirical,q950_err,0.118529,0.012331,3
256.0,source_only_empirical,q990_err,0.0774838,0.00405997,3
256.0,source_only_empirical,q995_err,0.110262,0.0392677,3
256.0,source_only_empirical,radial_w1,51.0532,2.41294,3
256.0,source_only_empirical,sample_time_s,0.341912,0.00307285,3
256.0,source_only_empirical,sliced_w1,2.87928,0.136496,3
256.0,source_only_empirical,tail_exc_95,0.071,0.00746235,3
256.0,source_only_empirical,tail_exc_99,0.0046,0.000848528,3
256.0,source_only_empirical,total_train_time_s,18.5481,0.0323114,3
