step,loss,elapsed_s
200,-4.6358323097229,61.03492593765259
400,-6.9486589431762695,126.96734142303467
600,-8.062698364257812,190.66623425483704
800,-10.003700256347656,251.81886982917786
1000,-9.770421981811523,308.6433982849121
1200,-10.479528427124023,374.1164515018463
1400,-9.859026908874512,432.5252296924591
1600,-10.316001892089844,491.87659072875977
1800,-9.787394523620605,555.3425562381744
2000,-10.006607055664062,614.1566717624664
2200,-9.752483367919922,672.6561563014984
2400,-10.424053192138672,731.1230862140656
2600,-10.644493103027344,790.7063443660736
2800,-10.501114845275879,854.271381855011
3000,-10.440935134887695,912.9766974449158
3200,-10.315549850463867,981.0228159427643
3400,-10.73013687133789,1039.4758121967316
3600,-10.491748809814453,1097.556167602539
3800,-10.263420104980469,1158.638310432434
4000,-9.92105484008789,1216.6359128952026
4200,-11.083041191101074,1275.3710741996765
4400,-11.025208473205566,1336.8327691555023
4600,-11.648569107055664,1396.9014022350311
4800,-11.27280044555664,1458.516244649887
5000,-11.377935409545898,1516.9174308776855
5200,-10.382339477539062,1582.8939077854156
5400,-11.10655403137207,1649.8647544384003
5600,-12.027170181274414,1709.3343329429626
5800,-11.006353378295898,1767.4684467315674
6000,-10.669066429138184,1836.6241385936737
6200,-11.669873237609863,1898.1400170326233
6400,-11.205144882202148,1959.5749044418335
6600,-10.779924392700195,2018.6773154735565
6800,-11.863929748535156,2077.416003704071
7000,-10.753028869628906,2144.908895254135
7200,-11.158655166625977,2205.9756972789764
7400,-11.660183906555176,2266.0859377384186
7600,-10.688486099243164,2326.6859147548676
7800,-10.91297721862793,2388.310641527176
8000,-10.798980712890625,2447.9372487068176
8200,-12.000584602355957,2509.084793329239
8400,-11.083776473999023,2570.859598636627
8600,-11.025701522827148,2637.702695608139
8800,-10.499518394470215,2697.1878156661987
9000,-10.832073211669922,2757.8162457942963
9200,-11.022928237915039,2814.673211812973
9400,-10.524224281311035,2871.541095495224
9600,-11.314902305603027,2929.3881731033325
9800,-10.734909057617188,2986.332273244858
10000,-11.984783172607422,3046.9843983650208
